time,equity
2025-06-30 09:30:00,6500.0
2025-07-01 09:30:00,6525.0
2025-07-02 09:30:00,6550.0
2025-07-03 09:30:00,6550.0
2025-07-04 09:30:00,6575.0
2025-07-07 09:30:00,6575.0
2025-07-08 09:30:00,6575.0
2025-07-09 09:30:00,6575.0
2025-07-10 09:30:00,6600.0
2025-07-11 09:30:00,6600.0
2025-07-14 09:30:00,6625.0
2025-07-15 09:30:00,6598.249999999998
2025-07-16 09:30:00,6623.249999999998
2025-07-17 09:30:00,6599.250000000002
2025-07-18 09:30:00,6624.250000000002
2025-07-21 09:30:00,6610.0
2025-07-22 09:30:00,6635.0
2025-07-23 09:30:00,6635.0
2025-07-24 09:30:00,6660.0
2025-07-25 09:30:00,6660.0
2025-07-28 09:30:00,6660.0
2025-07-29 09:30:00,6685.0
2025-07-30 09:30:00,6710.0
2025-07-31 09:30:00,6683.249999999998
2025-08-01 09:30:00,6708.249999999998
2025-08-04 09:30:00,6733.249999999998
2025-08-05 09:30:00,6758.249999999998
2025-08-06 09:30:00,6783.249999999998
2025-08-07 09:30:00,6783.249999999998
2025-08-08 09:30:00,6774.749999999999
2025-08-11 09:30:00,6799.749999999999
2025-08-12 09:30:00,6824.749999999999
2025-08-13 09:30:00,6824.749999999999
2025-08-14 09:30:00,6849.749999999999
2025-08-15 09:30:00,6874.749999999999
2025-08-18 09:30:00,6899.749999999999
2025-08-19 09:30:00,6924.749999999999
2025-08-20 09:30:00,6924.749999999999
2025-08-21 09:30:00,6929.000000000001
2025-08-22 09:30:00,6931.750000000002
2025-08-25 09:30:00,6956.750000000002
2025-08-26 09:30:00,6981.750000000002
2025-08-27 09:30:00,7006.750000000002
2025-08-28 09:30:00,7010.500000000002
2025-08-29 09:30:00,7010.500000000002
2025-09-01 09:30:00,7035.500000000002
2025-09-02 09:30:00,7060.500000000002
2025-09-03 09:30:00,7060.500000000002
2025-09-04 09:30:00,7085.500000000002
2025-09-05 09:30:00,7085.500000000002
2025-09-08 09:30:00,7110.500000000002
2025-09-09 09:30:00,7110.500000000002
2025-09-10 09:30:00,7112.5
2025-09-11 09:30:00,7137.5
2025-09-12 09:30:00,7137.5
2025-09-15 09:30:00,7137.5
2025-09-16 09:30:00,7162.5
2025-09-17 09:30:00,7187.5
2025-09-18 09:30:00,7212.5
2025-09-19 09:30:00,7237.5
2025-09-22 09:30:00,7230.250000000001
2025-09-23 09:30:00,7255.250000000001
2025-09-24 09:30:00,7262.5
2025-09-25 09:30:00,7287.5
2025-09-26 09:30:00,7312.5
2025-09-29 09:30:00,7337.5
2025-09-30 09:30:00,7362.5
2025-10-01 09:30:00,7362.5
2025-10-02 09:30:00,7387.5
2025-10-03 09:30:00,7412.5
2025-10-06 09:30:00,7437.5
2025-10-07 09:30:00,7462.5
2025-10-08 09:30:00,7462.5
2025-10-09 09:30:00,7487.5
2025-10-10 09:30:00,7487.5
2025-10-13 09:30:00,7512.5
2025-10-14 09:30:00,7537.5
2025-10-15 09:30:00,7562.5
2025-10-16 09:30:00,7562.5
2025-10-17 09:30:00,7587.5
2025-10-20 09:30:00,7587.5
2025-10-21 09:30:00,7612.5
2025-10-22 09:30:00,7575.0
2025-10-23 09:30:00,7575.0
2025-10-24 09:30:00,7600.0
2025-10-27 09:30:00,7625.0
2025-10-28 09:30:00,7625.0
2025-10-29 09:30:00,7650.0
2025-10-30 09:30:00,7650.0
2025-10-31 09:30:00,7675.0
2025-11-03 09:30:00,7700.0
2025-11-04 09:30:00,7725.0
2025-11-05 09:30:00,7750.0
2025-11-06 09:30:00,7750.0
2025-11-07 09:30:00,7775.0
2025-11-10 09:30:00,7800.0
2025-11-11 09:30:00,7825.0
2025-11-12 09:30:00,7820.0
2025-11-13 09:30:00,7845.0
2025-11-14 09:30:00,7870.0
2025-11-17 09:30:00,7895.0
2025-11-18 09:30:00,7920.0
2025-11-19 09:30:00,7945.0
2025-11-20 09:30:00,7970.0
2025-11-21 09:30:00,7995.0
2025-11-24 09:30:00,7995.0
2025-11-25 09:30:00,8020.0
2025-11-26 09:30:00,8045.0
2025-11-27 09:30:00,8070.0
2025-12-01 09:30:00,8069.249999999997
2025-12-02 09:30:00,8094.249999999997
2025-12-03 09:30:00,8094.249999999997
2025-12-04 09:30:00,8094.249999999997
2025-12-05 09:30:00,8119.249999999997
2025-12-08 09:30:00,8144.249999999997
2025-12-09 09:30:00,8169.249999999997
2025-12-10 09:30:00,8194.249999999996
2025-12-11 09:30:00,8194.249999999996
2025-12-12 09:30:00,8196.249999999995
2025-12-15 09:30:00,8221.249999999995
2025-12-16 09:30:00,8246.249999999995
2025-12-17 09:30:00,8271.249999999995
2025-12-18 09:30:00,8296.249999999995
2025-12-19 09:30:00,8321.249999999995
2025-12-22 09:30:00,8346.249999999995
2025-12-23 09:30:00,8340.999999999993
2025-12-24 09:30:00,8365.999999999993
2025-12-26 09:30:00,8390.999999999993
2025-12-29 09:30:00,8415.999999999993
