time,open,high,low,close,Volume
2023-11-01 14:50:00,4286.5,4288.5,4286.5,4286.75,17
2023-11-02 23:30:00,4375.25,4375.5,4375.0,4375.5,9
2023-11-06 15:00:00,4430.75,4430.75,4427.75,4427.75,3
2023-11-08 03:45:00,4440.0,4440.0,4439.5,4439.5,4
2023-11-09 17:55:00,4447.0,4448.25,4447.0,4448.25,2
2023-11-13 02:35:00,4465.25,4465.25,4462.75,4462.75,13
2023-11-14 16:25:00,4565.25,4567.0,4564.75,4567.0,19
2023-11-15 21:05:00,4563.75,4564.0,4562.5,4564.0,16
2023-11-17 06:40:00,4574.25,4574.25,4574.25,4574.25,2
2023-11-20 16:55:00,4597.25,4597.25,4597.0,4597.0,2
2023-11-22 02:00:00,4599.5,4599.5,4599.5,4599.5,31
2023-11-24 05:55:00,4619.5,4619.5,4619.5,4619.5,1
2023-11-27 18:30:00,4617.75,4618.5,4617.75,4618.25,8
2023-11-29 04:20:00,4619.75,4619.75,4619.75,4619.75,1
2023-11-30 09:50:00,4615.0,4615.75,4615.0,4615.75,2
2023-12-01 12:50:00,4616.25,4617.25,4614.75,4616.0,46
2023-12-04 14:15:00,4618.5,4619.0,4616.25,4616.25,57
2023-12-05 15:30:00,4624.0,4625.5,4621.5,4621.5,218
2023-12-06 16:35:00,4620.0,4623.0,4620.0,4622.25,133
2023-12-07 17:40:00,4639.75,4640.25,4637.75,4638.5,352
2023-12-08 18:40:00,4651.75,4651.75,4648.75,4649.5,876
2023-12-11 19:40:00,4673.75,4674.25,4672.5,4672.75,2378
2023-12-12 20:40:00,4694.0,4694.75,4692.75,4694.0,3628
2023-12-13 21:40:00,4761.25,4762.0,4760.5,4760.75,587
2023-12-14 23:40:00,4770.75,4771.75,4770.75,4771.5,492
2023-12-18 00:40:00,4778.0,4778.5,4776.5,4776.5,613
2023-12-19 01:40:00,4789.25,4789.75,4789.0,4789.5,163
2023-12-20 02:40:00,4821.5,4821.5,4821.0,4821.25,183
2023-12-21 03:40:00,4761.5,4762.0,4761.5,4761.75,174
2023-12-22 04:40:00,4790.5,4791.0,4790.25,4790.75,167
2023-12-26 05:40:00,4811.75,4813.0,4811.5,4812.5,263
2023-12-27 06:40:00,4827.75,4828.75,4827.75,4828.25,245
2023-12-28 07:40:00,4839.75,4840.25,4839.5,4839.75,185
2023-12-29 08:40:00,4839.5,4839.5,4838.5,4838.75,188
2024-01-02 09:40:00,4817.25,4817.75,4816.25,4817.75,1296
2024-01-03 10:40:00,4777.75,4780.0,4777.75,4779.25,1013
2024-01-04 11:40:00,4749.0,4749.0,4746.0,4748.25,1804
2024-01-05 12:40:00,4718.5,4719.5,4718.0,4718.75,748
2024-01-08 13:40:00,4737.5,4738.75,4736.75,4737.5,1327
